Thing,X-Coordinate,Y-Coordinate,Z-Coordinate
Special Reflector,0.25,-5.88,0
Thing 1,0.72,-6.22,0
Thing 2,1.51,-5.84,0
Thing 3,2,-6.19,0
Thing 4,2.73,-5.93,0
Thing 5,3.24,-6.27,0
Thing 6,4.1,-5.85,0
Thing 7,4.49,-6.24,0
