Format Version,1.23,Take Name,Team 5 Real 1,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-04 11.06.20.925 AM,Total Frames in Take,11099,Total Exported Frames,11099,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,0.004259,0.005071,-0.007543,0.999950,1.342664,1.051363,3.983916,1.343190,1.050498,4.023196,1.411624,1.049005,3.965480,1.273340,1.053444,3.961836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.019444,0.008206,0.005661,-0.007891,0.999919,1.342440,1.051536,3.984122,1.343160,1.050463,4.023123,1.411083,1.048792,3.966296,1.273327,1.053406,3.961795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,0.007433,0.006229,-0.007425,0.999925,1.342509,1.051312,3.984026,1.343139,1.050212,4.022934,1.411692,1.048662,3.965854,1.273310,1.053243,3.961794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.025000,0.006774,0.004874,-0.007683,0.999936,1.342496,1.051422,3.983914,1.343102,1.050083,4.022966,1.411740,1.048641,3.965934,1.273375,1.053484,3.961790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.027778,0.005468,0.005256,-0.007621,0.999942,1.342496,1.051392,3.983905,1.343171,1.050319,4.023141,1.411688,1.048569,3.965857,1.273302,1.053448,3.961766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,0.010703,0.004171,-0.006579,0.999912,1.342447,1.051617,3.984327,1.343209,1.050355,4.023126,1.410839,1.049687,3.966745,1.273275,1.053549,3.961751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.033333,0.007244,0.006626,-0.007811,0.999921,1.342495,1.051316,3.984058,1.343153,1.050071,4.022943,1.411635,1.048522,3.965852,1.273261,1.053345,3.961855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.036111,0.004390,0.004820,-0.007940,0.999947,1.342669,1.051339,3.983912,1.343192,1.050368,4.023160,1.411667,1.048828,3.965476,1.273296,1.053464,3.961759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.038889,0.005799,0.005178,-0.007457,0.999942,1.342486,1.051412,3.983882,1.343129,1.050520,4.023151,1.411647,1.048659,3.965787,1.273260,1.053446,3.961758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.041667,0.004416,0.005227,-0.007337,0.999950,1.342578,1.051319,3.983890,1.343195,1.050416,4.023134,1.411622,1.048561,3.965824,1.273307,1.053475,3.961766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
