Format Version,1.23,Take Name,Corner Reflector,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-01 01.20.55.123 PM,Total Frames in Take,2439,Total Exported Frames,2439,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector:Marker1,Corner Reflector:Marker1,Corner Reflector:Marker1,Corner Reflector:Marker2,Corner Reflector:Marker2,Corner Reflector:Marker2,Corner Reflector:Marker3,Corner Reflector:Marker3,Corner Reflector:Marker3
,ID,"6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","C58A0","C58A0","C58A0","C58E0","C58E0","C58E0","C5E10","C5E10","C5E10"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
25,0.069444,0.004779,-0.004255,0.010676,-0.999923,1.792928,-0.017182,-1.810191,1.811583,-0.015540,-1.860226,1.774630,-0.015960,-1.825942,1.794500,-0.016854,-1.743579
26,0.072222,0.016056,0.010067,-0.006111,-0.999802,1.791982,-0.015785,-1.809536,1.811507,-0.015578,-1.860223,1.774749,-0.016067,-1.825971,1.788928,-0.013733,-1.741456
27,0.075000,0.003693,-0.004761,0.012948,-0.999898,1.792971,-0.017319,-1.810229,1.811588,-0.015508,-1.860215,1.774691,-0.015970,-1.825876,1.794625,-0.018193,-1.743760
28,0.077778,0.004418,-0.005255,0.013174,-0.999890,1.792857,-0.017191,-1.810191,1.811537,-0.015472,-1.860163,1.774714,-0.015971,-1.825964,1.794555,-0.018556,-1.743678
29,0.080556,0.003642,-0.004709,0.015190,-0.999867,1.792811,-0.017100,-1.810367,1.810951,-0.017419,-1.862597,1.774673,-0.016059,-1.825872,1.794380,-0.016726,-1.743567
30,0.083333,0.004259,-0.004359,0.012176,-0.999907,1.792937,-0.017211,-1.810176,1.811565,-0.015538,-1.860194,1.774673,-0.015935,-1.825863,1.794271,-0.017851,-1.743694
31,0.086111,0.023255,0.008969,0.025231,-0.999371,1.791874,-0.016745,-1.809443,1.810288,-0.019807,-1.860162,1.774742,-0.015976,-1.825931,1.788756,-0.013415,-1.741441
32,0.088889,0.003719,-0.004544,0.015681,-0.999860,1.792910,-0.017027,-1.810123,1.811533,-0.015483,-1.860183,1.774682,-0.016193,-1.825909,1.794580,-0.018249,-1.743690
33,0.091667,0.003550,-0.005189,0.013783,-0.999885,1.793019,-0.017078,-1.810182,1.811550,-0.015602,-1.860273,1.774808,-0.016016,-1.825963,1.794581,-0.018119,-1.743599
34,0.094444,0.005229,-0.004253,0.011984,-0.999906,1.793008,-0.017199,-1.810166,1.811581,-0.015472,-1.860175,1.774726,-0.016001,-1.826006,1.794643,-0.018240,-1.743847
