,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector:Marker1,Corner Reflector:Marker1,Corner Reflector:Marker1,Corner Reflector:Marker2,Corner Reflector:Marker2,Corner Reflector:Marker2,Corner Reflector:Marker3,Corner Reflector:Marker3,Corner Reflector:Marker3,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3
,ID,"8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","D1890","D1890","D1890","D1960","D1960","D1960","D1AA0","D1AA0","D1AA0","D0870","D0870","D0870","D0880","D0880","D0880","D29D0","D29D0","D29D0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
9,0.025000,,,,,,,,-0.000888,0.001900,-0.010958,-0.999938,-5.139438,1.792818,-0.528633,0.016857,0.006874,-0.260192,0.965385,-1.006826,0.067151,-1.148697,-0.987494,0.075310,-1.422156,-1.023198,0.061232,-0.924603,-1.009798,0.065475,-1.099678,-5.058376,1.788492,-0.581077,-5.047769,1.784061,-0.479068,-5.310971,1.805382,-0.524659
10,0.027778,,,,,,,,-0.000422,0.005703,-0.002331,-0.999981,-5.139777,1.794233,-0.529256,0.012507,0.005342,-0.198388,0.980029,-1.006708,0.066925,-1.148743,-0.987511,0.071879,-1.421917,-1.023156,0.061072,-0.924514,-1.009863,0.065494,-1.099652,-5.058291,1.788624,-0.580964,-5.048140,1.784577,-0.479021,-5.312795,1.809009,-0.527134
11,0.030556,,,,,,,,-0.002340,0.005692,-0.001900,-0.999979,-5.139339,1.794269,-0.529158,0.017627,0.007323,-0.274949,0.961269,-1.006627,0.066881,-1.148703,-0.987691,0.071705,-1.422023,-1.022992,0.061301,-0.924330,-1.009837,0.065531,-1.099623,-5.058342,1.788537,-0.581204,-5.047245,1.785486,-0.478957,-5.310659,1.809718,-0.525855
12,0.033333,,,,,,,,-0.000839,0.004021,-0.005860,-0.999974,-5.139533,1.793790,-0.528904,0.012942,0.005519,-0.208199,0.977985,-1.006691,0.067023,-1.148718,-0.987471,0.075095,-1.422156,-1.022722,0.061450,-0.924102,-1.009814,0.065472,-1.099635,-5.058401,1.788508,-0.581268,-5.048146,1.784583,-0.479077,-5.310851,1.809311,-0.525650
13,0.036111,,,,,,,,-0.002744,0.002832,-0.008068,-0.999960,-5.139244,1.793226,-0.528601,0.021368,0.008577,-0.327991,0.944400,-1.006698,0.067014,-1.148656,-0.987449,0.075101,-1.422103,-1.022631,0.061040,-0.924336,-1.009863,0.065528,-1.099663,-5.058365,1.788570,-0.581214,-5.047261,1.785522,-0.478922,-5.310927,1.805483,-0.524723
14,0.038889,,,,,,,,0.000108,0.004151,-0.002245,-0.999989,-5.139604,1.794338,-0.528989,0.017219,0.007273,-0.266054,0.963777,-1.006627,0.066999,-1.148700,-0.987440,0.071805,-1.421898,-1.022616,0.061056,-0.924389,-1.009817,0.065481,-1.099658,-5.058336,1.788643,-0.580961,-5.048167,1.784571,-0.479031,-5.311001,1.811006,-0.525309
15,0.041667,,,,,,,,-0.000739,0.005644,-0.002519,-0.999981,-5.139587,1.794306,-0.529200,0.013737,0.005575,-0.216238,0.976228,-1.006867,0.067098,-1.148709,-0.987494,0.075208,-1.422144,-1.023104,0.060746,-0.924628,-1.009849,0.065468,-1.099647,-5.058364,1.788589,-0.581192,-5.048141,1.784613,-0.479072,-5.312927,1.808885,-0.527048
16,0.044444,,,,,,,,-0.000666,0.005504,-0.002565,-0.999981,-5.139803,1.794224,-0.529302,0.014552,0.005824,-0.230897,0.972852,-1.006799,0.066916,-1.148714,-0.987491,0.075100,-1.422138,-1.023178,0.060973,-0.924546,-1.009897,0.065475,-1.099655,-5.058365,1.788569,-0.581095,-5.048164,1.784548,-0.479028,-5.312803,1.808925,-0.527126
17,0.047222,,,,,,,,-0.001820,0.005526,-0.002098,-0.999981,-5.139647,1.794233,-0.529269,0.015859,0.006631,-0.242832,0.969916,-1.006852,0.067129,-1.148748,-0.987324,0.074223,-1.423709,-1.023043,0.060762,-0.924604,-1.009855,0.065507,-1.099684,-5.058351,1.788611,-0.581148,-5.047617,1.785560,-0.478969,-5.310645,1.809718,-0.525869
18,0.050000,,,,,,,,-0.002799,0.005876,-0.002533,-0.999976,-5.139483,1.794298,-0.529210,0.008644,0.003786,-0.144728,0.989426,-1.006737,0.066915,-1.148760,-0.987685,0.071659,-1.422058,-1.023183,0.061041,-0.924561,-1.009848,0.065545,-1.099601,-5.058418,1.788570,-0.581324,-5.047601,1.785546,-0.479048,-5.312748,1.808929,-0.527124
19,0.052778,,,,,,,,-0.001884,0.002834,-0.008700,-0.999956,-5.139472,1.793278,-0.528660,0.015285,0.006501,-0.235375,0.971763,-1.006669,0.066943,-1.148719,-0.987525,0.071871,-1.421895,-1.023196,0.061196,-0.924579,-1.009854,0.065514,-1.099632,-5.058398,1.788572,-0.581278,-5.048123,1.784633,-0.479084,-5.310968,1.805475,-0.524663
